DO,EC,PH,TEMP,LAT,LON,BATT,LEVEL,TIMESTAMP
0.001,681.700989,3.686,34.368,29.533245,-82.303596,3.53875,52.695313,1561488758
0.001,680.190979,0.566,34.213001,29.532747,-82.302483,3.61625,51.546875,1561488847
0.001,679.440979,1.138,34.456001,29.532673,-82.302498,3.61375,50.777344,1561488928
0.001,681.610962,0.927,34.092999,29.532585,-82.302261,3.64875,54.097656,1561489125
0.001,676.720947,1.248,34.314999,29.532639,-82.301773,3.6525,57.894531,1561489680
0.001,674.91095,0.402,34.507,29.532658,-82.301277,3.64875,61.375,1561490235
0.001,674.430969,0.277,34.621998,29.532055,-82.300285,3.64875,63.542969,1561490790
0.001,672.990967,0.987,34.699001,29.532593,-82.300270,3.64875,64.84375,1561491380
0.001,666.930969,0.899,35.271999,29.532255,-82.299248,3.6475,64.988281,1561492663
0.001,659.040955,0.888,36.134998,29.532106,-82.299004,3.87125,66.433594,1561493217
0.001,654.600952,1.88,36.485001,29.532204,-82.298798,3.64125,67.011719,1561493770
0.001,654.770996,0.417,36.528,29.532074,-82.298920,3.64875,67.300781,1561494332
0.001,653.970947,1.657,36.598999,29.532084,-82.299103,3.64875,67.734375,1561494886
0.001,654.980957,1.094,36.626999,29.532349,-82.298645,3.6475,67.878906,1561495440
0.001,654.540955,1.686,36.670998,29.532127,-82.298836,3.64625,68.023438,1561495995
0.001,654.080994,1.672,36.667999,29.532187,-82.298843,3.645,66.144531,1561496722
0.001,655.210999,1.094,36.619999,29.532211,-82.298805,3.64125,66.433594,1561497312
0.001,655.341003,0.827,36.605999,29.532211,-82.298775,3.64375,66.867188,1561497867
0.001,654.41095,0.827,36.624001,29.533003,-82.298714,3.88125,67.589844,1561498422
0.001,653.700989,0.968,36.626999,29.532242,-82.298790,3.645,67.445313,1561499011
0.001,651.860962,0.153,36.641998,29.532192,-82.298790,3.64375,67.445313,1561499575
0.001,652.560974,0.487,36.526001,29.532297,-82.298805,3.64375,67.589844,1561500129
0.001,655.901001,0.877,36.292999,29.532227,-82.298813,3.645,67.300781,1561500722
0.001,656.060974,1.792,36.274998,29.532202,-82.298759,3.64375,67.445313,1561501278
0.001,655.031006,1.243,36.317001,29.532221,-82.298813,3.86625,68.023438,1561501833
0.001,654.050964,1.045,36.225998,29.532223,-82.298782,3.64875,67.878906,1561502385
0.001,650.000977,0.972,36.133999,29.532209,-82.298813,3.6475,67.734375,1561502949
0.001,651.950989,1.068,35.982998,29.532183,-82.298874,3.6475,67.734375,1561503504
0.001,653.850952,1.039,35.910999,29.532187,-82.298828,3.64875,66.578125,1561504114
0.001,655.950989,0.895,35.781998,29.532206,-82.298805,3.645,65.855469,1561504709
0.001,656.010986,0.425,35.549999,29.532206,-82.298820,3.64625,65.421875,1561505297
0.001,657.740967,1.224,35.306999,29.532223,-82.298805,3.64625,65.710938,1561505889
0.001,659.250977,0.841,35.211998,29.532215,-82.298782,3.87,66.578125,1561506444
0.001,659.880981,0.925,35.155998,29.532213,-82.298805,3.64625,66.433594,1561507038
0.001,662.151001,0.033,35.100998,29.532223,-82.298805,3.64875,66.144531,1561507638
0.001,669.120972,0.994,35.049999,29.532200,-82.298836,3.6475,66.578125,1561508194
0.001,664.420959,1.119,34.966999,29.532223,-82.298836,3.87375,66.722656,1561508786
0.001,662.330994,0.254,34.849998,29.532192,-82.298767,3.64875,65.566406,1561509531
0.001,663.920959,0.068,34.730999,29.532248,-82.298828,3.64625,65.566406,1561510130
0.001,673.180969,0.094,34.666,29.532240,-82.298820,3.64875,65.710938,1561510722
0.001,674.240967,0.001,34.599998,29.532215,-82.298798,3.645,65.710938,1561511314
0.001,676.040955,0.601,34.526001,29.532227,-82.298828,3.65,66.144531,1561511870
0.001,674.91095,1.025,34.509998,29.532198,-82.298782,3.65,65.421875,1561512465
0.001,673.050964,0.586,34.480999,29.532852,-82.298363,3.64625,65.855469,1561513020
0.001,670.550964,0.641,34.410999,29.532875,-82.298073,3.64625,65.710938,1561513612
0.001,668.220947,0.243,34.355,29.532188,-82.298820,3.85625,66,1561514204
0.001,667.830994,0.497,34.297001,29.532251,-82.298782,3.64375,65.277344,1561514789
