timestamp,message
1596124430069,"Slope: -1.876641, Current: 115.393761, Previous: 143.543381"
1596124430853,"Internal timestamp invalid. Fetching from server."
1596124434613,"Number of data points in queue: 0"
1596124443891,", Entering power saving mode. Sleeping for 15 min."
1596125383093,"Slope: 0.068242, Current: 116.417389, Previous: 115.393761"
1596125386131,"Number of data points in queue: 0"
1596125395170,", Entering power saving mode. Sleeping for 15 min."
1596126324851,"Slope: 1.787402, Current: 143.228424, Previous: 116.417389"
1596126344131,"Slope: 1.790027, Current: 143.267792, Previous: 116.417389"
1596126363570,"Slope: 1.787402, Current: 143.228424, Previous: 116.417389"
1596126383971,"Slope: 1.787402, Current: 143.228424, Previous: 116.417389"
1596126405411,"Slope: 1.774279, Current: 143.031570, Previous: 116.417389"
1596126425810,"Slope: -0.062992, Current: 115.472504, Previous: 116.417389"
1596126428931,"Number of data points in queue: 0"
1596126438131,", Entering power saving mode. Sleeping for 15 min."
1596127367813,"Slope: 1.737534, Current: 141.535507, Previous: 115.472504"
1596127387177,"Slope: 1.724410, Current: 141.338654, Previous: 115.472504"
1596127406610,"Slope: 1.737534, Current: 141.535507, Previous: 115.472504"
1596127425970,"Slope: 1.742783, Current: 141.614243, Previous: 115.472504"
1596127445250,"Slope: 1.766405, Current: 141.968582, Previous: 115.472504"
1596127464530,"Slope: 1.745408, Current: 141.653625, Previous: 115.472504"
1596127474530,"Safe mode requested."
1596127760060,"Slope: 0.018373, Current: 141.929214, Previous: 141.653625"
1596127760771,"Internal timestamp invalid. Fetching from server."
1596127764532,"Number of data points in queue: 0"
1596127773732,", Entering power saving mode. Sleeping for 15 min."
1596129650302,"Slope: 0.039370, Current: 143.228424, Previous: 142.637878"
1596129653491,"Number of data points in queue: 2"
1596129667013,", Entering power saving mode. Sleeping for 15 min."
1596130596781,"Slope: -0.002625, Current: 143.189056, Previous: 143.228424"
1596130599971,"Number of data points in queue: 0"
1596130609494,", Entering power saving mode. Sleeping for 15 min."
1596131540221,"Slope: -0.036745, Current: 142.637878, Previous: 143.189056"
1596131543571,"Number of data points in queue: 0"
1596131553171,", Entering power saving mode. Sleeping for 15 min."
1596132482861,"Slope: 0.023622, Current: 142.992203, Previous: 142.637878"
1596132486051,"Number of data points in queue: 0"
1596132495653,", Entering power saving mode. Sleeping for 15 min."
1596133430533,"Slope: -1.338583, Current: 122.913452, Previous: 142.992203"
1596133434051,"Number of data points in queue: 0"
1596133443491,", Entering power saving mode. Sleeping for 15 min."
1596134376224,"Slope: 1.167980, Current: 140.433151, Previous: 122.913452"
1596134387412,"Number of data points in queue: 0"
1596134396371,", Entering power saving mode. Sleeping for 15 min."
1596135329180,"Slope: -0.055119, Current: 139.606369, Previous: 140.433151"
1596135332370,"Number of data points in queue: 0"
1596135341570,", Entering power saving mode. Sleeping for 15 min."
1596136275421,"Slope: -0.002625, Current: 139.567001, Previous: 139.606369"
1596136278530,"Number of data points in queue: 0"
1596136292304,", Entering power saving mode. Sleeping for 15 min."
1596137225260,"Slope: 0.083989, Current: 140.826843, Previous: 139.567001"
1596137228291,"Number of data points in queue: 0"
1596137241651,", Entering power saving mode. Sleeping for 15 min."
1596138174466,"Slope: 0.023623, Current: 141.181183, Previous: 140.826843"
1596138177971,"Number of data points in queue: 2"
1596138191094,", Entering power saving mode. Sleeping for 15 min."
1596139120931,"Slope: 0.073490, Current: 142.283539, Previous: 141.181183"
1596139124211,"Number of data points in queue: 0"
1596139134291,", Entering power saving mode. Sleeping for 15 min."
1596139645578,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596139647809,"Number of data points in queue: 0"
1596139661659,", Entering power saving mode. Sleeping for 15 min., "
1596140064059,"Slope: -1.761156, Current: 115.866203, Previous: 142.283539"
1596140067261,"Number of data points in queue: 0"
1596140076379,", Entering power saving mode. Sleeping for 15 min."
