timestamp,message
1602636692339,"Sending data to the server."
1602636850765,"Sending data to the server."
1602636984864,"Sending data to the server."
1602637187494,"Sending data to the server."
1602637238687,"Sending data to the server."
1602637270847,"Sending data to the server."
1602637335167,"Sending data to the server."
1602637644127,"Sending data to the server."
1602637720048,"Sending data to the server."
1602638052125,"Sending data to the server."
1602638160608,"Sending data to the server."
1602638327895,"Sending data to the server."
1602638460289,"Sending data to the server."
1602638792207,"Sending data to the server."
1602638843966,"Sending data to the server."
1602638934463,"Sending data to the server."
1602639132125,"Sending data to the server."
1602639250861,"Sending data to the server."
1602639389900,"Connecting to cellular network."
1602639607375,"Sending data to the server."
1602639647607,"Connecting to cellular network."
1602639866285,"Sending data to the server."
1602639899086,"Connecting to cellular network."
1602640149806,"Sending data to the server."
1602643311569,"Connecting to cellular network."
1602643507245,"Sending data to the server."
1602643564860,"Connecting to cellular network."
1602643787565,"Sending data to the server."
1602643972605,"Connecting to cellular network."
1602644329885,"Sending data to the server."
1602644669729,"Reading sensors."
1602644815414,"Reading sensors."
1602645083165,"Sending data to the server."
1602645730685,"Reading sensors."
1602646004851,"Sending data to the server."
1602685393168,"Reading sensors."
1602685764768,"Sending data to the server."
1602687171988,"Reading sensors."
1602687677489,"Sending data to the server."
1602688087727,"Reading sensors."
1602688264128,"Reading sensors."
1602688791089,"Sending data to the server."
1602689201329,"Reading sensors."
1602689869568,"Sending data to the server."
1602690726447,"Reading sensors."
1602691184128,"Sending data to the server."
1602691594927,"Reading sensors."
1602691766928,"Sending data to the server."
1602692177167,"Reading sensors."
1602692235489,"Sending data to the server."
1602692645808,"Reading sensors."
1602692705808,"Sending data to the server."
1602693114767,"Reading sensors."
1602693176128,"Sending data to the server."
1602693586368,"Reading sensors."
1602693648448,"Sending data to the server."
1602694058687,"Reading sensors."
1602694119568,"Sending data to the server."
1602694529808,"Reading sensors."
1602694589013,"Sending data to the server."
1602694999407,"Reading sensors."
1602695059808,"Sending data to the server."
1602695470048,"Reading sensors."
1602695530689,"Sending data to the server."
1602695940927,"Reading sensors."
1602696001728,"Sending data to the server."
1602696411967,"Reading sensors."
1602696473168,"Sending data to the server."
1602696883647,"Reading sensors."
1602697222208,"Sending data to the server."
1602697631813,"Reading sensors."
1602697694160,"Sending data to the server."
1602698104770,"Reading sensors."
1602698164302,"Sending data to the server."
1602698577195,"Reading sensors."
1602699451644,"Sending data to the server."
1602699863011,"Reading sensors."
1602699923573,"Sending data to the server."
1602700333824,"Reading sensors."
1602700758373,"Sending data to the server."
1602701169650,"Reading sensors."
1602701309086,"Sending data to the server."
1602701719811,"Reading sensors."
1602701837013,"Sending data to the server."
1602702247098,"Reading sensors."
1602702460130,"Sending data to the server."
1602702870450,"Reading sensors."
1602702973952,"Sending data to the server."
1602703383045,"Reading sensors."
1602703522528,"Sending data to the server."
1602703932779,"Reading sensors."
1602704087265,"Sending data to the server."
1602704497515,"Reading sensors."
1602704607835,"Sending data to the server."
1602705018178,"Reading sensors."
1602705096705,"Sending data to the server."
1602705506932,"Reading sensors."
1602705640526,"Sending data to the server."
1602706050767,"Reading sensors."
1602706207566,"Sending data to the server."
1602706617926,"Reading sensors."
1602707185415,"Sending data to the server."
1602707595568,"Reading sensors."
1602707656447,"Sending data to the server."
1602708066686,"Reading sensors."
1602708128069,"Sending data to the server."
1602708538205,"Reading sensors."
1602708598768,"Sending data to the server."
1602709008845,"Reading sensors."
1602709068418,"Sending data to the server."
1602709478708,"Reading sensors."
1602709540787,"Sending data to the server."
1602709950850,"Reading sensors."
1602710018846,"Sending data to the server."
1602710428926,"Reading sensors."
1602710486526,"Sending data to the server."
1602710896946,"Reading sensors."
1602710954579,"Sending data to the server."
1602711364606,"Reading sensors."
1602711449165,"Sending data to the server."
1602711859416,"Reading sensors."
1602712093009,"Sending data to the server."
1602712503245,"Reading sensors."
1602712747246,"Sending data to the server."
1602713157405,"Reading sensors."
1602713409455,"Sending data to the server."
1602713819807,"Reading sensors."
1602714047971,"Sending data to the server."
1602714458637,"Reading sensors."
1602714639571,"Sending data to the server."
1602715049645,"Reading sensors."
1602715393012,"Sending data to the server."
1602715804206,"Reading sensors."
1602716090972,"Sending data to the server."
1602716503909,"Reading sensors."
1602716825009,"Sending data to the server."
1602717233897,"Reading sensors."
1602717530540,"Sending data to the server."
1602717940926,"Reading sensors."
1602718634134,"Sending data to the server."
1602719044366,"Reading sensors."
1602719528365,"Sending data to the server."
1602719938605,"Reading sensors."
1602720407405,"Sending data to the server."
1602720817765,"Reading sensors."
1602721459485,"Sending data to the server."
1602721869567,"Reading sensors."
1602722610450,"Sending data to the server."
1602723020685,"Reading sensors."
1602723480289,"Sending data to the server."
1602723890527,"Reading sensors."
1602724614608,"Sending data to the server."
1602725024766,"Reading sensors."
1602725435725,"Sending data to the server."
1602725845815,"Reading sensors."
1602726185486,"Sending data to the server."
1602726595725,"Reading sensors."
1602726827436,"Sending data to the server."
1602727237646,"Reading sensors."
1602727451966,"Sending data to the server."
1602727862208,"Reading sensors."
1602728065885,"Sending data to the server."
1602728476213,"Reading sensors."
1602728686943,"Sending data to the server."
1602729097024,"Reading sensors."
1602729308765,"Sending data to the server."
1602729719012,"Reading sensors."
1602729933648,"Sending data to the server."
1602730343885,"Reading sensors."
1602730560685,"Sending data to the server."
1602730815965,"Reading sensors."
1602731059885,"Sending data to the server."
1602731470125,"Reading sensors."
1602731700313,"Sending data to the server."
1602732110530,"Reading sensors."
1602732331486,"Sending data to the server."
1602732741726,"Reading sensors."
1602733042293,"Sending data to the server."
1602733453729,"Reading sensors."
1602733675731,"Sending data to the server."
1602734085810,"Reading sensors."
1602734362371,"Sending data to the server."
1602734750211,"Reading sensors."
1602735016369,"Sending data to the server."
1602735342716,"Reading sensors."
1602735707330,"Sending data to the server."
1602736032373,"Reading sensors."
1602736273330,"Sending data to the server."
1602736598450,"Reading sensors."
1602736821569,"Sending data to the server."
1602737146637,"Reading sensors."
1602737397646,"Sending data to the server."
